"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"4/8/2022 6 p.m. EDT",36311,21672,28544,28347,82837,76225,11960,36994,15889,24352,12865,18159,41170
US48,"4/8/2022 7 p.m. EDT",38417,21892,28095,27665,83284,76070,12457,37306,16141,24525,13525,18980,41418
US48,"4/8/2022 8 p.m. EDT",40380,22209,27916,26582,84726,76483,12893,37833,16512,24731,14274,18997,41029
US48,"4/8/2022 9 p.m. EDT",41649,22934,27875,26123,86241,77232,12835,38643,16578,25337,14449,19511,40411
US48,"4/8/2022 10 p.m. EDT",41657,22444,28539,24693,84575,77757,12233,38856,16046,25173,14335,19440,40513
US48,"4/8/2022 11 p.m. EDT",40575,21514,28382,22825,81488,76000,11470,39240,15256,24430,13849,18919,39745
US48,"4/9/2022 12 a.m. EDT",39161,20445,27758,20915,78575,73280,10913,39182,14473,23310,13157,18177,38040
US48,"4/9/2022 1 a.m. EDT",37052,19527,27067,18734,76038,70644,10091,37675,13739,22459,12378,17465,36097
US48,"4/9/2022 2 a.m. EDT",34353,18996,26598,17422,74114,68571,10027,35993,13263,22286,11781,16974,34425
US48,"4/9/2022 3 a.m. EDT",31695,18873,26361,16547,73222,67640,9867,34604,12986,22227,10945,16693,33423
US48,"4/9/2022 4 a.m. EDT",29937,18925,26389,16081,73919,67423,9778,33570,12867,22203,10308,16605,32860
US48,"4/9/2022 5 a.m. EDT",28324,19321,26647,16007,74453,67239,9873,32960,12908,22177,9866,16604,32740
US48,"4/9/2022 6 a.m. EDT",27157,20086,27111,16362,75527,68364,10090,32740,13173,22641,9560,16942,33146
US48,"4/9/2022 7 a.m. EDT",26268,21219,27785,17231,77891,70401,10470,33001,13688,23327,9397,17473,34159
US48,"4/9/2022 8 a.m. EDT",25639,22379,28774,18365,80302,72812,11003,33804,14182,24370,9415,18044,35709
US48,"4/9/2022 9 a.m. EDT",25731,23080,29442,20312,82286,74673,11392,35210,14736,25470,9584,18613,37150
US48,"4/9/2022 10 a.m. EDT",26050,22856,29495,21783,82911,75081,11380,36689,15009,26015,9463,18941,38145
US48,"4/9/2022 11 a.m. EDT",25727,22471,28932,22608,82451,74294,11292,37959,15186,26249,9428,18947,38725
US48,"4/9/2022 12 p.m. EDT",25917,22211,28267,22996,81834,72994,11098,38702,15141,26032,9803,18341,38875
US48,"4/9/2022 1 p.m. EDT",25314,21935,27763,23344,80933,71833,10933,38656,14853,25558,9890,17947,39205
US48,"4/9/2022 2 p.m. EDT",24651,21675,27133,23703,80822,70540,10885,38168,14544,24975,10135,17478,39608
US48,"4/9/2022 3 p.m. EDT",24458,21467,26692,24255,80397,69393,10890,37674,14343,24560,10591,16775,40533
US48,"4/9/2022 4 p.m. EDT",24407,21366,26474,24585,80195,68741,10645,37383,14212,23775,11191,16322,41719
US48,"4/9/2022 5 p.m. EDT",24752,21661,26481,24917,79921,68230,10840,37138,14417,23581,11969,16020,43076
US48,"4/9/2022 6 p.m. EDT",25709,21996,26720,24962,80119,68696,11453,36972,14885,23416,12739,15856,44609
US48,"4/9/2022 7 p.m. EDT",27241,22579,26972,24445,80582,69118,12094,37210,15436,23054,13513,15852,45639
